image_path,type,danger,action,split,image_id,caption,target
D:\code\final_asmt\data_image\mexico_earthquake\23_9_2017\911634888998055936_2.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,911634888998055936_2,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\hurricane_harvey\7_9_2017\905826747395870720_0.jpg,flood,Low,Monitor water level and secure sandbags,train,905826747395870720_0,,Type: flood | Danger: Low | Action: Monitor water level and secure sandbags.
D:\code\final_asmt\data_image\hurricane_harvey\8_9_2017\906144424798937088_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,906144424798937088_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\3_9_2017\904237843857498112_0.jpg,flood,High,Immediate boat rescue and evacuation,train,904237843857498112_0,,Type: flood | Danger: High | Action: Immediate boat rescue and evacuation.
D:\code\final_asmt\data_image\hurricane_harvey\4_9_2017\904845308626051072_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,904845308626051072_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\3_9_2017\904441529539977217_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,904441529539977217_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\6_9_2017\905498554332000256_1.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,905498554332000256_1,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\19_9_2017\910026731892875264_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,910026731892875264_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\11_9_2017\907388800736866306_0.jpg,flood,High,Immediate boat rescue and evacuation,train,907388800736866306_0,,Type: flood | Danger: High | Action: Immediate boat rescue and evacuation.
D:\code\final_asmt\data_image\hurricane_harvey\10_9_2017\906836404856082432_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,906836404856082432_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\7_9_2017\905797577219690496_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,905797577219690496_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\15_9_2017\908822060771823616_3.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,908822060771823616_3,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\5_9_2017\904925838839169028_0.jpg,flood,Low,Monitor water level and secure sandbags,train,904925838839169028_0,,Type: flood | Danger: Low | Action: Monitor water level and secure sandbags.
D:\code\final_asmt\data_image\hurricane_harvey\5_9_2017\904856788922720256_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,904856788922720256_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\6_9_2017\905534245178880001_0.jpg,flood,Low,Monitor water level and secure sandbags,train,905534245178880001_0,,Type: flood | Danger: Low | Action: Monitor water level and secure sandbags.
D:\code\final_asmt\data_image\hurricane_harvey\12_9_2017\907447444388110337_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,907447444388110337_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\13_9_2017\907929747157651456_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,907929747157651456_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\4_9_2017\904670495097966592_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,904670495097966592_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\6_9_2017\905441486157873153_0.jpg,flood,High,Immediate boat rescue and evacuation,train,905441486157873153_0,,Type: flood | Danger: High | Action: Immediate boat rescue and evacuation.
D:\code\final_asmt\data_image\hurricane_harvey\13_9_2017\908071346013323264_0.jpg,flood,High,Immediate boat rescue and evacuation,train,908071346013323264_0,,Type: flood | Danger: High | Action: Immediate boat rescue and evacuation.
D:\code\final_asmt\data_image\hurricane_harvey\27_8_2017\901650463224987649_0.jpg,flood,High,Immediate boat rescue and evacuation,train,901650463224987649_0,,Type: flood | Danger: High | Action: Immediate boat rescue and evacuation.
D:\code\final_asmt\data_image\hurricane_harvey\6_9_2017\905405402128494592_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,905405402128494592_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\9_9_2017\906635330618580997_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,906635330618580997_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\5_9_2017\904857217266016256_0.jpg,flood,High,Immediate boat rescue and evacuation,train,904857217266016256_0,,Type: flood | Danger: High | Action: Immediate boat rescue and evacuation.
D:\code\final_asmt\data_image\hurricane_harvey\8_9_2017\906243309424840705_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,906243309424840705_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\27_8_2017\901667676216578049_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,901667676216578049_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\8_9_2017\906150521412755456_1.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,906150521412755456_1,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\8_9_2017\906058581048479744_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,906058581048479744_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\8_9_2017\906090345137659905_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,906090345137659905_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\5_9_2017\905056078123212800_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,905056078123212800_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\15_9_2017\908497175419785221_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,908497175419785221_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\27_8_2017\901650824530669568_1.jpg,flood,High,Immediate boat rescue and evacuation,train,901650824530669568_1,,Type: flood | Danger: High | Action: Immediate boat rescue and evacuation.
D:\code\final_asmt\data_image\hurricane_harvey\16_9_2017\908883051152793600_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,908883051152793600_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\15_9_2017\908795632789348353_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,908795632789348353_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\10_9_2017\906947024645488642_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,906947024645488642_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\3_9_2017\904228582385360897_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,904228582385360897_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\3_9_2017\904281502539628544_0.jpg,flood,Low,Monitor water level and secure sandbags,train,904281502539628544_0,,Type: flood | Danger: Low | Action: Monitor water level and secure sandbags.
D:\code\final_asmt\data_image\srilanka_floods\31_5_2017\869967714948849664_0.jpg,flood,High,Immediate boat rescue and evacuation,train,869967714948849664_0,,Type: flood | Danger: High | Action: Immediate boat rescue and evacuation.
D:\code\final_asmt\data_image\hurricane_harvey\7_9_2017\905626550002868224_0.png,flood,Medium,Deploy pumps and set up evacuation shelters,train,905626550002868224_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\srilanka_floods\2_6_2017\870528490184908800_3.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,870528490184908800_3,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\18_9_2017\909809535241433088_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,909809535241433088_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\4_9_2017\904807213927206912_1.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,904807213927206912_1,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\4_9_2017\904755656456065025_1.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,904755656456065025_1,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\6_9_2017\905570748303007744_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,905570748303007744_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\8_9_2017\906132727606513665_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,906132727606513665_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\6_9_2017\905412661688619009_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,905412661688619009_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\18_9_2017\909869734216257544_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,909869734216257544_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\7_9_2017\905600118405124096_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,905600118405124096_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\8_9_2017\906281016125341696_0.jpg,flood,High,Immediate boat rescue and evacuation,train,906281016125341696_0,,Type: flood | Danger: High | Action: Immediate boat rescue and evacuation.
D:\code\final_asmt\data_image\hurricane_harvey\3_9_2017\904464817242636290_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,904464817242636290_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\27_8_2017\901775534425825281_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,901775534425825281_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\3_9_2017\904353547025883138_2.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,904353547025883138_2,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\7_9_2017\905890951117381634_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,905890951117381634_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\15_9_2017\908804979686641664_2.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,908804979686641664_2,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\17_9_2017\909439401700110337_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,909439401700110337_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\3_9_2017\904225974828507136_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,904225974828507136_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\13_9_2017\908058441129873408_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,908058441129873408_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\6_9_2017\905278151718293504_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,905278151718293504_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\27_8_2017\901726647241646083_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,901726647241646083_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\srilanka_floods\19_6_2017\876592481214881795_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,876592481214881795_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\7_9_2017\905797452095143936_0.jpg,flood,High,Immediate boat rescue and evacuation,train,905797452095143936_0,,Type: flood | Danger: High | Action: Immediate boat rescue and evacuation.
D:\code\final_asmt\data_image\hurricane_harvey\3_9_2017\904303557582753793_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,904303557582753793_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\7_9_2017\905641847866875905_0.png,flood,Medium,Deploy pumps and set up evacuation shelters,train,905641847866875905_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\4_9_2017\904568111050907648_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,904568111050907648_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\16_9_2017\908895743561359360_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,908895743561359360_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\4_9_2017\904661779145515009_0.jpg,flood,High,Immediate boat rescue and evacuation,train,904661779145515009_0,,Type: flood | Danger: High | Action: Immediate boat rescue and evacuation.
D:\code\final_asmt\data_image\hurricane_harvey\10_9_2017\906833200877629440_0.jpg,flood,High,Immediate boat rescue and evacuation,train,906833200877629440_0,,Type: flood | Danger: High | Action: Immediate boat rescue and evacuation.
D:\code\final_asmt\data_image\hurricane_harvey\7_9_2017\905743072524464128_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,905743072524464128_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\12_9_2017\907681236801507328_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,907681236801507328_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\15_9_2017\908767564997595139_0.jpg,flood,High,Immediate boat rescue and evacuation,train,908767564997595139_0,,Type: flood | Danger: High | Action: Immediate boat rescue and evacuation.
D:\code\final_asmt\data_image\hurricane_harvey\4_9_2017\904517353588744192_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,904517353588744192_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\27_8_2017\901734330799677440_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,901734330799677440_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\9_9_2017\906356801314181120_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,906356801314181120_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\19_9_2017\910119881718112262_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,910119881718112262_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\9_9_2017\906306393501712384_0.jpg,flood,High,Immediate boat rescue and evacuation,train,906306393501712384_0,,Type: flood | Danger: High | Action: Immediate boat rescue and evacuation.
D:\code\final_asmt\data_image\hurricane_harvey\3_9_2017\904402558877302784_2.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,904402558877302784_2,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\11_9_2017\907226686688825344_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,907226686688825344_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\7_9_2017\905863453595893760_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,905863453595893760_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\4_9_2017\904692860620079104_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,904692860620079104_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\5_9_2017\905165175757688836_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,905165175757688836_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\27_8_2017\901792272882294786_0.jpg,flood,Low,Monitor water level and secure sandbags,train,901792272882294786_0,,Type: flood | Danger: Low | Action: Monitor water level and secure sandbags.
D:\code\final_asmt\data_image\hurricane_harvey\3_9_2017\904469110028951552_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,904469110028951552_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\srilanka_floods\31_5_2017\869988473419309059_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,869988473419309059_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\12_9_2017\907621182538764289_1.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,907621182538764289_1,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\srilanka_floods\4_6_2017\871271970029142016_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,871271970029142016_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\4_9_2017\904672687733297153_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,904672687733297153_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\5_9_2017\905050995046141953_0.jpg,flood,High,Immediate boat rescue and evacuation,train,905050995046141953_0,,Type: flood | Danger: High | Action: Immediate boat rescue and evacuation.
D:\code\final_asmt\data_image\hurricane_harvey\3_9_2017\904488825178779649_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,904488825178779649_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\18_9_2017\909765846314225664_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,909765846314225664_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\18_9_2017\909824546772938752_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,909824546772938752_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\3_9_2017\904292234148941825_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,904292234148941825_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\6_9_2017\905527239600734210_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,905527239600734210_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\11_9_2017\907280511709655040_0.jpg,flood,High,Immediate boat rescue and evacuation,train,907280511709655040_0,,Type: flood | Danger: High | Action: Immediate boat rescue and evacuation.
D:\code\final_asmt\data_image\hurricane_harvey\4_9_2017\904615127621750785_0.png,flood,Medium,Deploy pumps and set up evacuation shelters,train,904615127621750785_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\9_9_2017\906510459607678976_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,906510459607678976_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\27_8_2017\901764023464726528_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,901764023464726528_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\15_9_2017\908792106310922240_1.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,908792106310922240_1,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\srilanka_floods\1_6_2017\870386986758156290_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,870386986758156290_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\13_9_2017\908037953204695047_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,908037953204695047_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\6_9_2017\905388513704767489_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,905388513704767489_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\27_8_2017\901663058388504576_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,901663058388504576_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\3_9_2017\904481650507218945_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,904481650507218945_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\srilanka_floods\2_6_2017\870605397538856960_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,870605397538856960_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\5_9_2017\905205035134459905_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,905205035134459905_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\15_9_2017\908723134781517824_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,908723134781517824_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\6_9_2017\905351240715866112_0.jpg,flood,Low,Monitor water level and secure sandbags,train,905351240715866112_0,,Type: flood | Danger: Low | Action: Monitor water level and secure sandbags.
D:\code\final_asmt\data_image\hurricane_harvey\15_9_2017\908566528898895872_3.jpg,flood,High,Immediate boat rescue and evacuation,train,908566528898895872_3,,Type: flood | Danger: High | Action: Immediate boat rescue and evacuation.
D:\code\final_asmt\data_image\hurricane_harvey\4_9_2017\904588625647689729_0.jpg,flood,High,Immediate boat rescue and evacuation,train,904588625647689729_0,,Type: flood | Danger: High | Action: Immediate boat rescue and evacuation.
D:\code\final_asmt\data_image\hurricane_harvey\17_9_2017\909477113199316997_0.jpg,flood,High,Immediate boat rescue and evacuation,train,909477113199316997_0,,Type: flood | Danger: High | Action: Immediate boat rescue and evacuation.
D:\code\final_asmt\data_image\hurricane_harvey\7_9_2017\905930890735439873_2.jpg,flood,Low,Monitor water level and secure sandbags,train,905930890735439873_2,,Type: flood | Danger: Low | Action: Monitor water level and secure sandbags.
D:\code\final_asmt\data_image\hurricane_harvey\27_8_2017\901818411226996736_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,901818411226996736_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\8_9_2017\906239653363245056_0.jpg,flood,High,Immediate boat rescue and evacuation,train,906239653363245056_0,,Type: flood | Danger: High | Action: Immediate boat rescue and evacuation.
D:\code\final_asmt\data_image\hurricane_harvey\8_9_2017\905948319330992128_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,905948319330992128_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\4_9_2017\904536410320973824_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,904536410320973824_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\4_9_2017\904818328841199616_1.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,904818328841199616_1,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\27_8_2017\901671631549906946_0.jpg,flood,High,Immediate boat rescue and evacuation,train,901671631549906946_0,,Type: flood | Danger: High | Action: Immediate boat rescue and evacuation.
D:\code\final_asmt\data_image\hurricane_harvey\27_8_2017\901659341773791233_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,901659341773791233_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\10_9_2017\906933984986267650_0.jpg,flood,High,Immediate boat rescue and evacuation,train,906933984986267650_0,,Type: flood | Danger: High | Action: Immediate boat rescue and evacuation.
D:\code\final_asmt\data_image\hurricane_harvey\13_9_2017\908078869026091013_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,908078869026091013_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\hurricane_harvey\6_9_2017\905511848115552256_0.jpg,flood,High,Immediate boat rescue and evacuation,train,905511848115552256_0,,Type: flood | Danger: High | Action: Immediate boat rescue and evacuation.
D:\code\final_asmt\data_image\srilanka_floods\1_6_2017\870244871629451264_0.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,870244871629451264_0,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
D:\code\final_asmt\data_image\srilanka_floods\10_6_2017\873491045442441216_1.jpg,flood,Medium,Deploy pumps and set up evacuation shelters,train,873491045442441216_1,,Type: flood | Danger: Medium | Action: Deploy pumps and set up evacuation shelters.
